,wn,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,184.0,-0.00021984392540861167,-0.00019334959122312628,-0.00017726547089249564,2.5047751188297972e-05,0.0008787871252999382,0.00024677847259777495,0.00017214915360595388,-3.598560031904285e-05,-0.00063071701669125,-0.000251957263685259,0.00028045745734774964,-0.00046460275917855,-0.0007085921025763001,-0.0005178185416781251,-0.000307103288008525
1,185.0,-0.00016081858305358427,-0.00015632358029440583,-0.00021550155958326758,8.271342719796773e-05,0.0009478986676972515,7.863946629007834e-05,9.756677807463535e-05,-2.0022596130883825e-05,-0.00048731430359785,-0.0003009124404908524,0.00023862039878045662,-0.0002149462482199,-0.0007943140391016667,-0.0004065330544951614,-0.000337128384866175
2,186.0,-0.00015039167162845168,-0.00016061418478186315,-0.0002325358389869119,7.827214739860906e-05,0.0009751171384847231,2.1140437871123086e-05,5.995975035236381e-05,-2.2552605780961794e-05,-0.00046336515262405004,-0.00031567233905961325,0.00020919304789986521,-0.00016129547454019104,-0.0008268761469917667,-0.00040506674053767506,-0.00035926893408325003
3,187.0,-0.00013891826009028414,-0.00017997409612421098,-0.00024663166860704227,4.4689284777176306e-05,0.0010325655346729668,-6.221256800533932e-05,2.595913418052876e-07,-2.9100123617630634e-05,-0.0004626997704836,-0.0003010154057281683,0.0001679180610216214,-0.0001299655228962613,-0.0008588813361532666,-0.00041354806292665,-0.00039603830113497495
4,188.0,-0.00013126718113931472,-0.00023771394381299333,-0.00025085681686584237,-5.628434088393094e-05,0.0011480579787001334,-0.000186959083475775,-9.934143733064747e-05,-4.653312946151971e-05,-0.0005267155886433,-0.0002190269592080625,0.00010568970144786638,-0.000173375838387196,-0.0008817118815457334,-0.000453197665067755,-0.00046122612276507503
5,189.0,-0.00014064802570225226,-0.0002804123337008687,-0.00025195975793053756,-0.00011137892289834187,0.0011876983622967335,-0.00022580012813427957,-0.00013664003401663233,-6.148708667539711e-05,-0.00058089403492195,-0.0001849475869646307,7.789595537683878e-05,-0.00023879669439573635,-0.0008860248744173334,-0.0004979541877512,-0.0004902072474155787
6,190.0,-0.00014369234684572386,-0.00033183468476526666,-0.0002604310822314251,-0.0001846613311422568,0.0012598250555430667,-0.0003147052184965276,-0.00020488088879755983,-8.487925445391245e-05,-0.0005784591465522999,-0.00014371832446787012,3.64774161142387e-05,-0.00030450487854909766,-0.0008819993745097334,-0.0005125507458331249,-0.000508083377643307
7,191.0,-0.00013788956857111224,-0.00037781668043642227,-0.00028328193948207056,-0.0002502331095460013,0.0013438556240101998,-0.00044995763295645007,-0.0002944236433822332,-0.0001140140739282154,-0.0004745563113998499,-0.0001239159877659285,-1.3443810509901517e-05,-0.000334159759356154,-0.0008717768071613667,-0.00047427195183257496,-0.00049783753269495
8,192.0,-0.00013575096361498774,-0.00039189143517465554,-0.00030805507067408876,-0.0002548362997953362,0.0013584770348185997,-0.0005204416159093252,-0.00033272900013266,-0.00012904284473355893,-0.00036916070756705,-0.00015609318824076455,-3.948371339179869e-05,-0.0003081591950294714,-0.0008746693099404001,-0.0004372271597322,-0.0004748054843874461
9,193.0,-0.00010586278899517664,-0.0003818652997383889,-0.00033876931537148,-0.0002680989288300404,0.0014516014315641666,-0.0006176858469145875,-0.00040510210865036666,-0.00015054272362397057,-0.00017241781724926675,-0.00020700428243491514,-6.641830690385996e-05,-0.0002965049899925411,-0.0008800906826609666,-0.0003650394675626,-0.0004621062158783894
10,194.0,-6.578766948434417e-05,-0.0003528518438859,-0.00035928755614367995,-0.0002928524754905762,0.0015892009104164332,-0.0006780488742684,-0.0004786605161520667,-0.00016958892500636537,-8.954843447999983e-06,-0.00025445054532168194,-8.237210311346001e-05,-0.00033113999712815,-0.0008985328811526333,-0.000321082142450875,-0.00048751170820189994
11,195.0,-4.681566569437028e-05,-0.0003321509652041778,-0.00036305117948262004,-0.00031920631749803345,0.0016827097557671668,-0.000672012258675975,-0.0005151456171104667,-0.0001789335370645198,1.9160087240899996e-05,-0.00027744875994602193,-8.649453541878844e-05,-0.000395354519720875,-0.0009269798575366999,-0.00034453153000702506,-0.000538913572880075
12,196.0,3.614994689095049e-05,-0.0002833812557256667,-0.00033922693983154,-0.00033446280208369015,0.0019408022982828,-0.0006358873615034,-0.0005408245290251001,-0.00018218117969630038,1.9137696022500014e-05,-0.0002838318838940426,-7.02176641702077e-05,-0.0005028442806568207,-0.0009289656173016,-0.0003670372295328,-0.0006321546433536249
13,197.0,0.0001090101845204759,-0.0002776125033265889,-0.00031365374041648973,-0.0003228187667748511,0.0021349180021173666,-0.0006168551639385625,-0.0005293381076559334,-0.0001808066753714512,-4.114912405106191e-05,-0.0002742867086557581,-6.123088449173037e-05,-0.000561183019909275,-0.0008959975970698,-0.00039440259482735,-0.0006873206868491
14,198.0,0.00014528829640899894,-0.00031245326890213333,-0.0002999355006750783,-0.0002992523535205911,0.002210863759992867,-0.00062288671747175,-0.0004992533199850483,-0.00017934349803877273,-0.00012659109796711723,-0.00026241249446533116,-6.649455318225074e-05,-0.000567847146112725,-0.0008532212671915665,-0.000425402827725175,-0.0006985327146083501
15,199.0,0.0002790732268253554,-0.0004181673826053333,-0.00022289250786650073,-0.00016599640769015455,0.002391915337742933,-0.000632657532465775,-0.00033740857126679687,-0.000156094525071965,-0.00042487267919774993,-0.00016523257399873623,-5.407004561155004e-05,-0.00048684694562967497,-0.0006558429305407335,-0.00044498732238620686,-0.000659341171038125
16,200.0,0.000355673701942426,-0.00046013471008898697,-0.00016848771372332126,-8.581668868200981e-05,0.002489194006061,-0.0006248340323607751,-0.00024940224316853335,-0.00014784749196338469,-0.000580922255358,-9.714042723411122e-05,-4.427892363500213e-05,-0.000426013483661325,-0.0005639156394510334,-0.000435319409794875,-0.000629023159593325
17,201.0,0.00039199885496156255,-0.0004641117891088348,-0.00013452269749701824,-4.651606340758303e-05,0.002534474872944467,-0.0006094217510965125,-0.00021446039070053334,-0.000149457183706337,-0.0006422370375582001,-5.605524030051373e-05,-3.875022843524386e-05,-0.00038914531524809995,-0.0005416452997975334,-0.000416343340634,-0.00061141267171915
18,202.0,0.0005195925571781808,-0.0003146439420201256,3.133352651498292e-05,9.814992854705572e-05,0.0026505375197020333,-0.0004705783491268375,-0.00011834273813453334,-0.00015309756215475681,-0.0006623496608111999,0.00014932940111112478,4.038455617304879e-05,-0.00018218583706649995,-0.0005467092995946667,-0.00016428036212760003,-0.000497556941983625
19,203.0,0.0005595820704224328,-0.0002695723165471333,8.276734780252043e-05,0.00013529556389779802,0.0026834789492325,-0.000433240143456375,-7.337423051223329e-05,-0.00015474279814563802,-0.0006730666871615499,0.00020776690115420748,6.73094952239693e-05,-9.897356594284999e-05,-0.0005542185167240999,-9.530349326371975e-05,-0.000464603562140625
20,204.0,0.0005758922151527211,-0.0002552208023922993,0.00010258640892840944,0.00014376469347425832,0.002694950999486733,-0.00042433269472944945,-4.266675556803331e-05,-0.00015583528016058207,-0.00068412279557695,0.0002258647795614232,7.904865836750878e-05,-5.1551589024999994e-05,-0.0005607046787925,-7.828800852070121e-05,-0.000454199513563225
21,205.0,0.0005982242466824018,-0.0002461838826076436,6.107591085477769e-05,8.08161024631064e-05,0.0026630136875601335,-0.0004881273220129625,0.00012578754658633333,-0.0001194171517249267,-0.00067184043046265,0.00018193107998077404,0.0001503716663728123,0.0001517430687461,-0.0005207074696213667,-0.00011176731588433424,-0.00045084007024772505
22,206.0,0.000587266645993781,-0.0002579028452952601,9.70936009265927e-05,5.569182905518311e-05,0.0026548280440183668,-0.0005110323637562998,0.00019680587820471854,-0.00011155964504745648,-0.0006830494807551499,0.00015087159497619474,0.00015378269612303876,0.00019699355801485,-0.0005190674086328667,-0.0001278704248346691,-0.000455261680580025
23,207.0,0.0005733162862165055,-0.0002710475682138416,0.00014134420757849105,3.383719822682129e-05,0.0026489763898747,-0.0005302319483110001,0.00026122239072043303,-0.00010596216834173337,-0.0006963810471035499,0.00012090824366961446,0.00015146066121738268,0.000229676656762975,-0.0005206523283156001,-0.00014145537050252142,-0.00045994703393104997
24,208.0,0.0004363950905520547,-0.00028111609999545526,0.00067154617339132,-5.164998258775386e-07,0.0026769524950239665,-0.0005134802509170374,0.0006828523685559333,-7.928470829420526e-05,-0.00076278682422185,1.0421296997378365e-05,6.888137908523222e-05,0.0002969567623166853,-0.0005394102214602333,6.265912791134654e-05,-0.00040726410317133796
25,209.0,0.0004036827567920205,-0.0002921711829109798,0.00089141277798896,5.596656685011618e-07,0.0026620812912628,-0.0005081442941138375,0.0007833588326018332,-7.86248323695708e-05,-0.0007901014617326499,-1.8184437879576647e-05,4.56028131133819e-05,0.00029457118605674806,-0.0005599222092323001,9.329617883813212e-05,-0.0004021727066119374
26,210.0,0.00037643335215559046,-0.00029699866605404994,0.00127525904434154,1.613987217797462e-05,0.0026215454836631,-0.0004979000990083,0.0009170782751037,-7.632716032052823e-05,-0.00081492068155855,-4.4179569559376155e-05,3.7883027341633816e-05,0.00029999466349515003,-0.00058878485343,0.0001294982092977278,-0.000393639959320575
27,211.0,0.0003942520656650297,-0.0002575353736076793,0.00278209804464078,0.0001351139585725089,0.0024010902879425,-0.0004540531332163894,0.0012667731486509667,-6.305096058644897e-05,-0.0008191988993047502,-4.694615075347949e-05,0.00014300648208816384,0.00035997937858987507,-0.0006741583792928667,0.00019748427199255307,-0.0003628014814798521
