,wn,0,1,2,3,4,5,6
0,184.0,-9.616384032387099e-05,0.0002614581780932827,-0.0002450867484622434,-0.00017726547089249564,-0.00021426504924213982,-4.229375980149296e-05,-7.856003020007847e-05
1,185.0,-0.00011584041955288793,0.000162572802988614,-0.0002477681283194184,-0.00021550155958326758,-0.00016777388764147066,-4.145048841071868e-05,7.247574909951091e-05
2,186.0,-0.0001406135513443699,0.00012240846183071328,-0.00025831506210670374,-0.00023253583898691192,-0.00016322872649366966,-4.913172692370221e-05,0.00010115850696678046
3,187.0,-0.00017340149591995685,5.572084471444985e-05,-0.0002743057663275609,-0.0002466316686070423,-0.0001587845742432153,-6.176312500770896e-05,0.0001249908030618955
4,188.0,-0.00022041089616212683,-6.017522985512141e-05,-0.0003037845873566542,-0.00025085681686584237,-0.00015913117869286245,-8.515043843945616e-05,0.0001232374308934296
5,189.0,-0.0002441811930953329,-0.00010454087423300261,-0.0003268898509333386,-0.00025195975793053756,-0.00017054080873296352,-9.899246767606444e-05,9.370555019927546e-05
6,190.0,-0.00026399146940238923,-0.00019978965690041486,-0.000352009535992218,-0.0002604310822314251,-0.0001770350009943043,-0.00011770608874227635,8.206256622103099e-05
7,191.0,-0.0002727056487777685,-0.0003385112985135227,-0.00037360272774612324,-0.00028328193948207056,-0.0001755045281837558,-0.000137814251788512,0.00010487234156184838
8,192.0,-0.0002752057682186769,-0.0004058694608834807,-0.000384360242203645,-0.0003080550706740888,-0.0001750420486313247,-0.00014684707010985696,0.0001317887368288914
9,193.0,-0.0002664147724904195,-0.0005010561885990428,-0.00039460831433535865,-0.00033876931537148,-0.00016114850812859127,-0.00015748499738455488,0.00018847569145741364
10,194.0,-0.0002592149139402,-0.0005630854999596714,-0.00040681950579935997,-0.00035928755614367995,-0.00014730000741892258,-0.0001663164984184286,0.00023204376466139
11,195.0,-0.00026624652016773683,-0.0005611890005644713,-0.0004215304720678471,-0.00036305117948262004,-0.00014857174311116016,-0.00017155175127819318,0.00022925324003174015
12,196.0,-0.0002646199756248115,-0.0005309849028362356,-0.00042728356135285296,-0.00033922693983154005,-0.00010736765594728438,-0.00017332958537358918,0.0002623601447853217
13,197.0,-0.00027140508212013963,-0.0005121442608142357,-0.0004318384962736883,-0.00031365374041648973,-5.984068307091875e-05,-0.00017648122417738424,0.00029436376627894
14,198.0,-0.00028761911049352397,-0.0005138788714862714,-0.00043984243724580854,-0.0002999355006750783,-2.8291514784141723e-05,-0.00018212622983630102,0.00030874850416908
15,199.0,-0.0003080007838869458,-0.0005058914846722,-0.0004186222153886373,-0.00022289250786650076,0.00011101734490180087,-0.00018625848343737278,0.0004000139084056773
16,200.0,-0.00031548134110279477,-0.0004911778255988572,-0.0003944320986682932,-0.00016848771372332132,0.0001927639885014505,-0.00018827596697024369,0.00046265559344885995
17,201.0,-0.00031712599370228926,-0.00047560327730092344,-0.00037441111155389666,-0.00013452269749701824,0.0002322146595259203,-0.00018972957074097325,0.00049999795246047
18,202.0,-0.00024369369742353614,-0.00035344531844550155,-0.00021332704209085475,3.133352651498292e-05,0.0003764598245892389,-0.00016785853127069975,0.00070059485623213
19,203.0,-0.0002227754399382217,-0.0003193036857931682,-0.0001639929646662588,8.276734780252043e-05,0.00041848864349553307,-0.00016036762281097395,0.0007646792132124721
20,204.0,-0.00021718579255011283,-0.0003097909258903913,-0.00014624089100505252,0.00010258640892840944,0.00043298651912965176,-0.00015722200357147498,0.0007906730197801795
21,205.0,-0.00017888482450504858,-0.00034644950717114024,-0.00013088776406097643,6.107591085477768e-05,0.0004248608104622114,-0.00012457151666190117,0.0008259086617235363
22,206.0,-0.00018429959954583157,-0.00036079711840473013,-0.00013772753605248227,9.70936009265927e-05,0.00040753557625227885,-0.00011819153036821502,0.0008328951148417541
23,207.0,-0.00019333769781151335,-0.0003729806572140219,-0.00014605881209703607,0.00014134420757849105,0.0003893386752503466,-0.00011384240271862522,0.0008383310424392667
24,208.0,-0.00025132662736122825,-0.0003447548510838496,-0.00013593531329370747,0.00067154617339132,0.0002813809256169297,-8.767197309149526e-05,0.000975659185581083
25,209.0,-0.00027785707664390754,-0.00033804116589652696,-0.000139164864619077,0.0008914127779889601,0.00025891525315982716,-8.720908500269101e-05,0.0009892792694145521
26,210.0,-0.00030468898507612116,-0.000326619958633874,-0.0001325386239634971,0.00127525904434154,0.000246448360506383,-8.693206947529974e-05,0.0009975855794408114
27,211.0,-0.00033045470914996503,-0.00028306242988131717,-5.7109104386644685e-05,0.00278209804464078,0.0003093037338266821,-8.82952993816119e-05,0.0009645050814054113
28,212.0,-0.00033545135084208673,-0.000270751074289224,-3.755443635233293e-05,0.00322668268890042,0.0003468805336249565,-8.998896628537002e-05,0.0009363301583040166
29,213.0,-0.0003143514492604854,-0.00023087603701308571,-7.84063776697124e-06,0.00368721523100892,0.00042574532794997143,-7.099798805270432e-05,0.0009204582256788822
30,214.0,-0.00021862992665473816,-0.00011608356418314883,3.8565269560146944e-05,0.00401741550291268,0.0006101738982156299,8.623125996674494e-06,0.0009473239535832602
31,215.0,-0.0001770722128924991,-7.01026230216815e-05,2.7752378812587013e-05,0.00379956747626394,0.0006720639881547471,4.9659632650543735e-05,0.000970570698728
32,216.0,-7.731605889586249e-05,3.10495038947572e-05,7.426449902606265e-05,0.00332747267785442,0.0008323922170149238,0.00012977092753119413,0.00103980282662861
33,217.0,7.400897115524159e-05,0.00018059213478539447,0.00020904676418050214,0.0025608616110374,0.0010967696585094389,0.00024054613615782862,0.001154129600657809
34,218.0,0.00010425789467724414,0.00021442197334593555,0.00029062912388109726,0.0022014434997011598,0.0011859224206935595,0.0002630541182813028,0.0011803610394599503
35,219.0,0.0002567631496285495,0.00036219444206813615,0.0005245449097635647,0.00159946772244768,0.0015085698678508463,0.00034126133067719595,0.001301042181019058
36,220.0,0.00047597169244793195,0.000570684809431165,0.0008056842551873118,0.00108394559054784,0.0019455964415033352,0.0004439915163248787,0.0014739810486381648
37,221.0,0.0005898553657820583,0.0006793443577182787,0.0009149697900925941,0.0010250005378403398,0.002166685636390606,0.0004921079051797802,0.0015663262125691284
38,222.0,0.000981479578370669,0.0010530831008052142,0.0012664379153547421,0.0010715646648975798,0.0028894170312261684,0.0006491600870074223,0.0018401823171523633
39,223.0,0.0013454921900751835,0.0014106351461882145,0.0015943159695378814,0.00115753555044808,0.003572778845661628,0.0007942767993803779,0.00206133578238545
40,224.0,0.0015159276357617417,0.0015908826357379131,0.0017537537133545933,0.0012066397465020796,0.003914188262874087,0.0008626628432875224,0.0021304921658229703
41,225.0,0.002096142389360633,0.0022154884138088785,0.0023149690267564287,0.00141208434103714,0.0050683423144978566,0.0010889902666763557,0.00227765252353851
42,226.0,0.0024807191654775086,0.0026343467323553145,0.0026953883209255578,0.0015663443298084595,0.005843591657112872,0.001219955111987667,0.0023511551139776595
43,227.0,0.002671916936380725,0.0028464464756868075,0.0028912963751718548,0.0016576860417499197,0.006239477972182266,0.0012671631027872444,0.00237098892550791
44,228.0,0.0033620137761256165,0.0035942563950599575,0.0036341657301630532,0.0020662270033471996,0.007614054358950099,0.0013593525125922,0.0024558920109717004
45,229.0,0.003663632050748042,0.003920033493306214,0.003945781705245441,0.0022386025765130995,0.008206742601612332,0.0014005453175120449,0.0024741036095722703
46,230.0,0.003820007604915125,0.004088538247991715,0.004096742425692576,0.0023215012335915997,0.00850923778942837,0.0014244380586982894,0.0024691224703803794
47,231.0,0.0042646657098383495,0.004508133686538136,0.004364205823724453,0.0024287954067374997,0.009176829946215265,0.0015815886459512995,0.0023878104242889193
48,232.0,0.004337258334988875,0.004571518000943292,0.004380534747644415,0.0024289379560603398,0.00926231970709321,0.0016146966131893115,0.00232662905871171
49,233.0,0.004362605198563967,0.0045900972952954144,0.004366382152589023,0.0024165476293697397,0.009275405376285292,0.0016313923869871114,0.0022690822948847897
50,234.0,0.0039220505746722836,0.004132306400196343,0.004003662337603459,0.0022901515707191194,0.00842242944983057,0.0014712917206360998,0.0019239991398293504
51,235.0,0.0037131787814008,0.003919859690055965,0.003832183683294555,0.0022194525062401594,0.008048637852485378,0.0013935496728536335,0.0017984389856157295
52,236.0,0.003446543129441283,0.003641112793068743,0.0036031087361188263,0.00211627802132846,0.007559210269503049,0.001297301150859534,0.0016420843869728403
53,237.0,0.002565754871723292,0.002654837583325257,0.0027559841630175174,0.00166065374962686,0.00583694776939388,0.0010055784039212888,0.0011601149381412828
54,238.0,0.0022864361441854502,0.002335906195571607,0.0024634410207034704,0.0014879105360905396,0.005287761716524693,0.0009175081866396114,0.0010099895242501778
55,239.0,0.0018899410267560668,0.0018837154943169216,0.002038132009445647,0.0012392610916728997,0.004499634930283877,0.0007835069670167776,0.0008044516889926336
56,240.0,0.0011332271539733416,0.0010255632232210074,0.0011944643800012658,0.0007552895378310799,0.002976109167133244,0.0004993284485406001,0.00043224956778526737
57,241.0,0.0009350545257909958,0.0008153342808432287,0.0009473580638716196,0.0006262586795018199,0.0025877982203756037,0.0004024119192688445,0.000336791427687509
58,242.0,0.0006126591953177614,0.000471808610031788,0.0005738184965576765,0.00041111288040052,0.0019708720167913815,0.0002502485002103071,0.00017190041832215643
59,243.0,0.00015068667156288985,-1.8709177487088828e-05,8.774073979999074e-05,9.611810250025103e-05,0.0011209588944967564,4.238978420289971e-05,-7.893655748799375e-05
60,244.0,2.1154693724623327e-05,-0.00014689890038304928,5.881191283090936e-07,5.263847986846303e-06,0.0009316929068585224,-4.49946466810617e-06,-0.00016037533906020822
61,245.0,-0.00019401085446655743,-0.00036317192564284777,-0.00013171406229765703,-0.00014501394652859792,0.0006069782983014515,-8.165617815970836e-05,-0.00027886827858776943
62,246.0,-0.0004152759533777583,-0.0005847241970739499,-0.0002671915212181261,-0.00029411151699802447,0.0002636658891392888,-0.00016299459130096115,-0.0003862369649090953
63,247.0,-0.00047688350512411386,-0.0006407995372860572,-0.00031842400255957564,-0.00032537556081632007,0.0001611897440124225,-0.00019051886720579012,-0.00040668868450259197
64,248.0,-0.0005608605533155016,-0.0007224423788842356,-0.0004187561387556919,-0.0003536742888852608,-2.705499639807168e-05,-0.00024063113701785043,-0.00040483825763182346
65,249.0,-0.0006218379572806916,-0.0007862794159001357,-0.0005114137700122461,-0.0003696294134538107,-0.00018067122146171667,-0.00028274620467821725,-0.00040007195048547873
66,250.0,-0.0006449552787635166,-0.0008140324113901714,-0.0005571573893874941,-0.0003775768171551426,-0.00023445438407561437,-0.00029949932364703484,-0.0004112156129059154
67,251.0,-0.0006447003602946,-0.0008634334203409286,-0.0006603438370742176,-0.00038068102480277996,-0.0003126277814841431,-0.00032151396925264803,-0.0004319641455084997
68,252.0,-0.0006532241834435833,-0.0009051787982489928,-0.0007362572103781647,-0.0003892662462053,-0.0003679158454908696,-0.000340645169296696,-0.00046057894266860995
69,253.0,-0.0006743990293150583,-0.0009354315934826,-0.0007779185031358117,-0.00040243322655211995,-0.0004025616758431339,-0.00035641653893874446,-0.00049018984689229
70,254.0,-0.0007553700710281666,-0.0010393139011556929,-0.0008656297013958176,-0.00045778389285788,-0.0005056859907125034,-0.0004115878556941,-0.00056864915803174
71,255.0,-0.000804322237780125,-0.0010925244023458215,-0.0009058559884609118,-0.00048706966336843995,-0.0005579615191677787,-0.00044066635428292227,-0.00060667124052223
72,256.0,-0.0008355230193456333,-0.001120286547483093,-0.0009250737055216646,-0.00050271251694586,-0.0005853730369861688,-0.00045644350861327775,-0.0006256376569289701
